crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16295312,48,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,ong - orange,harley-davidson,fxd,2015
16298471,39,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flht,2018
16349474,26,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx-r750,2006
16358343,35,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,blk - black,suzuki,gsx,2004
16297678,36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx,2015
16298613,29,98 - other,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xr1200,2016
16297142,38,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2008
16297547,68,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,cbr600,2017
16297654,30,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2004
16299924,67,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fxdxi,1999
16300276,28,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,lt50,2006
16301971,25,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2013
16302426,43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2017
16300843,37,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
16301030,69,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fltrx,2013
16302238,51,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,harley-davidson,fls,2008
16302612,37,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,kawasaki,vn800,2004
16304289,52,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,harley-davidson,xl1200,2
16364346,32,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,vulcan 2000,1997
16553640,58,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,suzuki,gsx,2007
16303746,34,w - white,2 - female,0,n - not injured,mc - motorcycle,blk - black,yamaha,yzfr1,1996
16303824,29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2008
16346207,62,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ple - purple,kawasaki,zg1000,1999
16346314,69,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhti,2003
16364521,31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,grom,2014
16346938,29,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,kawasaki,zx636,2006
16346887,72,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhp,2014
16358246,42,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,harley-davidson,flstc,2007
16348889,48,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2013
16353511,32,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxd,2017
16357472,51,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,kawasaki,zx1400,2017
16347904,48,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2009
16350041,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,gsx-r600,2007
16350658,19,98 - other,1 - male,1,k - fatal injury,mc - motorcycle,red - red,honda,cbr600,2012
16364471,31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fld,2014
16365383,29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx,2016
16344394,29,a - asian,2 - female,1,k - fatal injury,mc - motorcycle,blk - black,ducati,m600,2003
16347362,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,ninja zx,2012
16359228,48,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhxs,2017
16347216,28,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhr,1999
16347268,23,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,honda,crf250,2009
16358844,34,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,triumph motorcycle,scrambler,2017
16362691,45,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,bro - brown,harley-davidson,fld,2013
16344967,56,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xr100,2017
16346268,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2013
16352736,35,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,ong - orange,harley-davidson,flt,2017
