crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
17620781,31,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,10 - defective or no vehicle brakes,yamaha,xvs950 (yamaha),2018.0
17621497,44,a - asian,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xlh883 (harley-davidson),2017.0
17622904,67,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,dl1000 (suzuki),2004.0
17625388,37,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,gsx600 (suzuki),2017.0
17628236,53,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2008.0
17624141,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),2016.0
17627301,22,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,unknown (honda),2015.0
17628325,39,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,gsx600 (suzuki),2004.0
17626818,68,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhr/i (harley-davidson),2001.0
17628247,25,99 - unknown,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,grom (honda),2019.0
17685544,69,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),bmw,g series (bmw),2014.0
17752046,22,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,zx600 (kawasaki),2009.0
17682488,31,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxr (harley-davidson),2013.0
17682957,75,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,unknown (yamaha),1994.0
17683725,51,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,gsx1300 (suzuki),2017.0
17687303,42,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2018.0
17680837,35,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,10 - defective or no vehicle brakes,honda,unknown (honda),2006.0
17683959,32,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,unknown (honda),2006.0
17681506,47,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2014.0
17680406,26,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,cbr1000 (honda),2006.0
17680886,48,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,ple - purple,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2002.0
17684074,19,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),suzuki,gw250 (suzuki),2015.0
17687431,24,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),harley-davidson,xl883 (harley-davidson),2018.0
17680582,37,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,98 - other  (explain in narrative),kawasaki,ex500 (kawasaki),2006.0
17682114,39,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,red - red,98 - other  (explain in narrative),triumph motorcycle,daytona (triumph motorcycle),2004.0
17682133,41,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2007.0
17682279,31,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,grn - green,98 - other  (explain in narrative),kawasaki,zx600 (kawasaki),2007.0
17684346,36,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),2004.0
17684976,56,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhrc (harley-davidson),2009.0
17680416,45,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,unknown (honda),2011.0
17680494,44,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fls (harley-davidson),2003.0
17681513,45,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),honda,vt1300 (honda),2006.0
17684718,21,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),yamaha,mt-01 (yamaha),2004.0
17686211,58,w - white,1 - male,0,n - not injured,mc - motorcycle,red - red,98 - other  (explain in narrative),bmw,r1100 (bmw),1995.0
17686828,55,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,gld - gold,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2004.0
17687047,67,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flt (harley-davidson),2017.0
17687406,49,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xl883 (harley-davidson),2019.0
17688719,62,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),harley-davidson,flhx (harley-davidson),2003.0
17690076,68,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,fxd (harley-davidson),2004.0
17690206,59,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2007.0
17682368,45,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,zg1400 (kawasaki),2009.0
17682855,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),harley-davidson,fld (harley-davidson),2016.0
17684283,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,xl1200 (harley-davidson),2019.0
17685220,25,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,xlh883 (harley-davidson),1999.0
