,crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary,safety_score
11948,17160646,29,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,honda,cbr1000,2006,japan,1,0.9472046181363921
11949,17158053,43,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,yamaha,yzfr1,2001,japan,1,0.9006196126263624
11950,17159043,21,w - white,1 - male,1,n - not injured,mc - motorcycle,gry - gray,harley-davidson,flt,2019,usa,0,0.8458300041481996
11951,17158375,41,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2019,usa,1,0.9119947966022149
11952,17158406,67,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,flhc,2017,usa,1,0.9540336632441047
11953,17160085,33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2,usa,1,0.920150891745765
11954,17157535,34,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhxse,2019,usa,1,0.9604211561821641
11955,17160018,57,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxd,2004,usa,1,0.9228915299421633
11956,17160241,86,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,whi - white,can-am,spyder roadster,2018,Other,1,0.9385558222339994
11957,17160877,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2019,japan,1,0.9439826490822505
11958,17167601,73,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,fxd,2015,usa,1,0.9819869235693063
11959,17551023,28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,grom,2014,japan,1,0.9366902115311518
11960,17156133,38,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr300,2017,japan,1,0.9527798276809302
11961,17162880,28,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,honda,vt750,2012,japan,1,0.8825724335529825
11962,17164204,63,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2007,usa,1,0.8948758778540927
11963,17161526,21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,99 - unknown,harley-davidson,fxrs,1986,usa,1,0.8791580129400732
11964,17162540,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fxdf,2011,usa,1,0.9277951118458004
11965,17156328,35,b - black,2 - female,1,n - not injured,mc - motorcycle,blk - black,kawasaki,ninja zx,2018,japan,0,0.9427618977083292
11966,17159993,19,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr250,2018,japan,1,0.8853739134205887
11967,17161092,31,w - white,1 - male,1,n - not injured,mc - motorcycle,ong - orange,harley-davidson,fld,2013,usa,0,0.9204171667278358
11968,17156735,39,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,zx1000,2009,japan,1,0.9813261932189219
11969,17156164,37,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fld,2018,usa,1,0.9544681495204737
11970,17158808,27,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsx,2007,japan,1,0.9007014907969184
11971,17158957,28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,ple - purple,harley-davidson,fxd,1999,usa,1,0.922513741424457
11972,17161510,22,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx,2008,japan,1,0.8831573611830781
11973,17163192,26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,mul - multicolored,suzuki,gsx,2008,japan,1,0.8762567615210186
11974,17166119,52,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,blu - blue,can-am,spyder roadster,2018,Other,0,0.8993835520681387
11975,17234846,40,99 - unknown,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2006,usa,1,0.8284730603466931
11976,17156551,26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,yamaha,fz1,2006,japan,1,0.9417470472434589
11977,17158522,29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxlr,2017,usa,1,0.9128887024365543
