person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mul - multicolored,honda,cbr600,2
65,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,whi - white,honda,cmx250,1986
19,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,hyosung,gt250,2017
47,w - white,1 - male,1,n - not injured,mc - motorcycle,blu - blue,harley-davidson,fltr,2013
46,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,harley-davidson,fld,2006
24,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,fzs10,2003
56,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhp,2015
65,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,yzfr1,2007
45,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,fsc600,2015
21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,suzuki,vs1400,2003
19,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,yamaha,yzfr6,2009
16,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,yel - yellow,harley-davidson,fld,2
25,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2012
56,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flstfb,2013
21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,vulcan 2000,2016
22,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xg500,2015
28,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,yzfr6,2004
18,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cb600,2003
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yz125,2003
31,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx-r600,2017
25,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,bge - beige,yamaha,xvs950,2015
32,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,yamaha,yzfr1,2
45,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fxdc,2013
38,b - black,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,indian motorcycle co.,chief,2018
19,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,kawasaki,ninja zx,2018
29,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr929,2001
47,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,gry - gray,honda,cb900,2018
33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xv1900,2009
50,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fxstsb,2009
45,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2015
38,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,gry - gray,honda,cbr600,2004
53,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2003
27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx-r1000,2009
34,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,bmw,s 1000,2014
27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx-r750,2006
22,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mul - multicolored,kawasaki,zx1000,2014
29,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,vtx1300,2006
70,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flrt,2016
36,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
17,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2014
22,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,ctx1300,2014
30,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,whi - white,harley-davidson,fld,2003
24,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2002
73,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,1998
28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,1999
37,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,suzuki,gsx-r750,2002
26,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx,2015
53,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,honda,vfr750,1999
35,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx-r750,2008
30,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,xl600,2003
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx,2007
31,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,2017
41,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,gry - gray,suzuki,gsx,2005
49,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,vrscf,2014
50,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
50,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,zx600,2007
44,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2018
32,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
66,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhtkl,2015
63,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,1999
21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2009
24,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,american motors,unknown,2008
44,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx,2003
57,b - black,1 - male,0,k - fatal injury,mc - motorcycle,red - red,kawasaki,zx900,1994
53,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flhtkse,2016
29,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhp,2018
25,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,triumph motorcycle,bonneville,2016
45,b - black,1 - male,1,k - fatal injury,mc - motorcycle,whi - white,suzuki,gsx1300,2008
17,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,1998
35,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fls,2009
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx-r750,2005
45,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1100,1999
59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,harley-davidson,flhr,2018
30,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,harley-davidson,vrsca,2011
31,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxd,201
35,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdb,201
31,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
42,h - hispanic,2 - female,0,k - fatal injury,mc - motorcycle,yel - yellow,suzuki,dl1000,2004
25,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,1999
52,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,nc750sa,2007
46,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,vtx1300,2014
46,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2005
65,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flhtcu,2013
24,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ex250,2009
25,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,honda,cbr600,2001
44,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,xvs1300,2006
22,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2003
67,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhpi,2005
49,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fxd,2002
61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flstfb,2012
37,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhp,2015
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,honda,vt1100,2007
19,w - white,1 - male,1,n - not injured,mc - motorcycle,grn - green,kawasaki,ex300,2014
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,2009
25,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2008
37,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,yamaha,yzfr1,2014
56,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,xl1200,2015
36,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,fld,1984
19,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,gry - gray,kawasaki,ex300,2015
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2007
62,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,mul - multicolored,harley-davidson,fld,2016
32,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxd,201
53,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,flt,2011
50,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
64,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fltrxs,2016
53,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,harley-davidson,flt,2017
42,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2003
19,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr250,2017
39,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhp,2011
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,ex300,2014
31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2012
28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2006
27,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,xl883,2014
52,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blu - blue,yamaha,xvs1100,2
49,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,1979
61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,honda,vt700,2009
63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2011
36,b - black,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,suzuki,gsx,2007
58,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,harley-davidson,flhxse,2015
51,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,american iron horse,outlaw,2006
23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2
31,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xg500,2015
28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2015
51,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2012
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2017
50,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr600,1986
54,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,xvs1100,2005
20,w - white,1 - male,1,n - not injured,mc - motorcycle,grn - green,kawasaki,ex650,2009
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,1982
47,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2015
23,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,sv650,2017
35,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,harley-davidson,fxdl,2014
36,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx1300,2005
30,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,ducati,monster,2015
22,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,honda,grom,2018
46,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,xlx,2012
50,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,kymco usa inc,people,2008
27,w - white,2 - female,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr600,2016
53,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,honda,ctx700,2014
23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,zx636,2015
36,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2007
29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx,2005
36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdf,2014
19,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr1000,2015
16,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,kawasaki,ninja zx,2005
38,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,ong - orange,big bear choppers,unknown,2007
21,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fxr,1999
21,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,gry - gray,yamaha,xvs1100,2018
62,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,flhp,2009
36,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,zx1000,2005
56,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,vf1100,2002
46,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ple - purple,honda,gl1500,1996
46,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxstc,2013
55,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2006
30,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2014
36,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr600,2008
67,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,harley-davidson,fld,2012
27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2006
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ong - orange,honda,cbr600,2008
33,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,alt125,2006
38,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,indian motorcycle co.,scout,2018
35,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,whi - white,suzuki,gsx-r750,2002
31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,harley-davidson,xl1200,2004
52,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xg500,2015
33,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx-r1000,2013
55,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,2009
49,b - black,1 - male,1,n - not injured,mc - motorcycle,whi - white,pennstyle campers inc,not applicable,2007
28,w - white,1 - male,1,n - not injured,mc - motorcycle,mul - multicolored,kawasaki,ninja zx,2014
33,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2018
33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,grn - green,kawasaki,ninja zx,2016
45,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2015
45,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2015
51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,honda,cb750,1981
28,b - black,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,fld,2018
30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,ctx700,2014
21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,honda,cbr500,2017
33,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,flht,2013
66,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,gl1100,1984
28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,c90,2005
29,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl883,2017
56,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,honda,cbr600,2011
27,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhr,2014
18,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx-r600,2006
24,w - white,1 - male,0,n - not injured,mc - motorcycle,red - red,harley-davidson,fxd,2006
29,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,99 - unknown,harley-davidson,fld,2007
45,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhr,2008
20,w - white,1 - male,0,k - fatal injury,mc - motorcycle,whi - white,kawasaki,1600,2006
63,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,honda,vtx1300,2008
34,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xl883,2013
28,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flhr,2005
45,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flrt,2012
33,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,flt,2011
21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,honda,cbr1000,2008
60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,indian motorcycle co.,scout,2015
27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2002
48,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,polaris,slingshot,2017
21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,honda,grom,2018
37,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,all other makes,unknown,2017
44,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhx,2011
54,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,yamaha,yzfr1,2004
45,h - hispanic,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,vulcan 2000,2001
20,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xlh1200,2011
21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdwg,2013
63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,kawasaki,vulcan 2000,1993
48,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,bge - beige,yamaha,yzfr1,2004
58,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,2012
43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,harley-davidson,flhtk,2011
23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,honda,sh150,2002
64,w - white,1 - male,1,k - fatal injury,mc - motorcycle,whi - white,harley-davidson,fld,2003
55,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,nc750sa,2
34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,flhp,2013
31,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,fz6,2012
24,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzf600,2013
41,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,triumph motorcycle,america,2006
34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,honda,cbr600,2009
32,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsx-r1000,2013
27,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,ninja zx,2005
27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,kawasaki,vn750,1982
37,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,vrsca,2007
53,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxd,2013
47,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,flhtcutg,2016
35,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,bmw,r1150,2002
55,b - black,2 - female,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2013
40,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,ducati,1198,2011
71,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,xlx,2014
33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2018
31,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,harley-davidson,flhp,2018
61,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fxdwg,2016
32,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2017
25,b - black,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,gsx,2014
21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,sr500,2016
18,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,xv1700,2006
29,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2018
23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xv1900,201
30,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,gld - gold,suzuki,gsx,2008
23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2008
19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,yamaha,rx50,2006
43,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,flhp,201
56,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yw125,2014
23,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsx-r600,2017
28,98 - other,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,yamaha,yzf600,2016
34,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,xvs1100,2001
33,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2003
36,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,victory motorcycles,cross country,2011
17,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,yamaha,yzfr1,2015
25,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,yzfr1,201
28,w - white,1 - male,1,n - not injured,mc - motorcycle,gld - gold,harley-davidson,flhxs,2014
31,a - asian,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr1000,2008
21,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdl,2017
48,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2014
19,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr600,2002
29,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,yzfr1,2007
42,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2007
36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,fld,2017
44,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
52,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,yamaha,yzfr1,2007
25,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,suzuki,gsx-r600,2018
29,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2001
21,w - white,1 - male,0,n - not injured,mc - motorcycle,red - red,suzuki,sfv650,2017
22,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,yamaha,yzfr1,2006
25,w - white,1 - male,1,n - not injured,mc - motorcycle,grn - green,harley-davidson,fls,2017
27,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,cbx,2013
29,w - white,1 - male,0,n - not injured,mc - motorcycle,whi - white,harley-davidson,flhxs,2018
49,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flstfb,2014
39,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ple - purple,yamaha,yzfr1,2
26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr1000,2007
49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,victory motorcycles,vegas,2007
55,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr1000,2014
52,h - hispanic,2 - female,0,n - not injured,mc - motorcycle,whi - white,harley-davidson,xl883,2015
25,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,flhp,2014
20,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxs,2006
32,a - asian,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fls,2016
64,w - white,1 - male,1,k - fatal injury,mc - motorcycle,sil - silver,harley-davidson,flhrc,2011
27,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,hyosung,gt650,2016
