,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
3144,36,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),can-am,unknown (can-am),2020.0
3145,57,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,10 - defective or no vehicle brakes,harley-davidson,fxd (harley-davidson),2006.0
3146,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),yamaha,xv1900 (yamaha),2007.0
3147,43,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),hawkeye,not applicable (hawkeye),2020.0
3148,34,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,cbr500 (honda),2020.0
3149,28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ex400 (kawasaki),2020.0
3150,66,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),all other makes,unknown (all other makes),2013.0
3151,31,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ex650 (kawasaki),2006.0
3152,28,b - black,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,gsx-r600 (suzuki),2011.0
3153,35,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,cbr1000 (honda),2008.0
3154,53,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),harley-davidson,flhtc (harley-davidson),2007.0
3155,28,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vt750 (honda),2012.0
3156,70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2009.0
3157,69,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,10 - defective or no vehicle brakes,kawasaki,vn1600 (kawasaki),2006.0
3158,56,99 - unknown,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhxse2 (harley-davidson),2011.0
3159,38,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),chevrolet,g series (chevrolet),2006.0
3160,43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,98 - other  (explain in narrative),kawasaki,kdx220 (kawasaki),1998.0
3161,57,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2006.0
3162,46,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2006.0
