crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary
17135861,33,w - white,1 - male,0,k - fatal injury,mc - motorcycle,red - red,harley-davidson,xl1200,2008,USA,1
17136055,64,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,bmw,r1200,2015,Germany,1
17145137,59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbx,2013,Japan,1
17197591,33,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,yel - yellow,honda,ps250,2005,Japan,1
17197592,32,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fltrx,2015,USA,1
17133177,47,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,can-am,spyder roadster,201,Other,1
17135237,44,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr250,2012,Japan,1
17146840,18,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,1997,Japan,1
17135290,52,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhtcui,2015,USA,1
17135449,48,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,cam - camouflage,harley-davidson,fld,2019,USA,1
17135944,55,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,volkswagen,unknown,2013,Other,1
17137026,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdb,2012,USA,1
17140175,30,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,honda,cbr1000,2006,Japan,1
17141094,56,w - white,2 - female,0,n - not injured,mc - motorcycle,blu - blue,harley-davidson,xl883,2002,USA,0
17142148,60,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2015,USA,1
17142165,49,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhx,2012,USA,1
17142918,14,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,xv700,2009,Japan,1
17145123,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,yzfr1,2004,Japan,1
17148630,44,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,suzuki,gsx,2006,Japan,1
17148663,57,w - white,1 - male,0,k - fatal injury,mc - motorcycle,ple - purple,harley-davidson,fxd,2,USA,1
17138187,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2009,USA,1
17138662,57,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fxs,1978,USA,1
17140054,35,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fxd,2013,USA,1
17144431,37,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,yel - yellow,buell,lightning,2003,Other,1
17145165,19,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,honda,xr600,2003,Japan,1
17147700,25,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,kawasaki,kz1000,2012,Japan,1
17148413,62,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,red - red,honda,ch150,2013,Japan,1
17152506,49,a - asian,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016,USA,1
17139325,53,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx1300,2005,Japan,1
17139479,48,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cb500,2014,Japan,1
17139920,59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,vtx1300,2002,Japan,1
17140291,20,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2,Japan,1
17140692,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fls,2013,USA,1
17141382,28,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,yel - yellow,honda,gl1500,1999,Japan,1
17141877,43,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,yamaha,yzfr1,2016,Japan,1
17141936,21,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,suzuki,gsx,2006,Japan,1
17146061,35,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,xl883,2002,USA,1
17146900,51,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fltc,2007,USA,1
17149470,68,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,crf250,2013,Japan,1
17139380,63,w - white,1 - male,1,n - not injured,mc - motorcycle,blu - blue,bmw,r1200,2016,Germany,0
17142384,67,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,harley-davidson,fls,2007,USA,1
17144150,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,dr-z400,2018,Japan,1
17145007,53,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2018,USA,1
17145018,63,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,bmw,r1200,2009,Germany,1
